# period  BIC_array
1.371845646148506503e+01 7.013984001830976922e+00
1.372218911421201781e+01 5.197881100738186433e+00
1.372592379872562418e+01 3.577225099279530696e+00
1.372966051668526788e+01 2.437557578923019719e+00
1.373339926975214986e+01 1.861856817205307379e+00
1.373714005958927409e+01 1.601667925324250064e+00
1.374088288786145640e+01 1.453556063113182972e+00
1.374462775623533162e+01 1.351217296703111970e+00
1.374837466637935179e+01 1.193281746869388371e+00
1.375212361996378796e+01 8.273073399716395215e-01
1.375587461866073191e+01 3.303278437961125746e-01
1.375962766414409977e+01 4.401575368581234216e-02
1.376338275808963907e+01 4.262601105369867582e-02
1.376713990217492167e+01 2.015135972320649671e-01
1.377089909807935797e+01 4.097982758679563631e-01
1.377466034748418622e+01 5.755622266890441097e-01
1.377842365207248498e+01 6.110420664872435736e-01
1.378218901352917669e+01 5.444280969925330282e-01
1.378595643354102229e+01 4.938366765645696432e-01
1.378972591379662482e+01 6.855575303468413040e-01
1.379349745598644184e+01 1.223553206634505841e+00
1.379727106180276941e+01 1.940410392965191022e+00
1.380104673293977058e+01 2.647598057068080379e+00
1.380482447109345401e+01 3.180532047267206508e+00
1.380860427796168821e+01 3.567187409625717009e+00
1.381238615524419799e+01 3.992598876136753461e+00
1.381617010464257866e+01 4.538189971563156178e+00
1.381995612786028182e+01 4.874768707206158069e+00
1.382374422660263491e+01 4.550310540738223608e+00
1.382753440257682875e+01 3.638440091834127088e+00
1.383132665749193180e+01 2.720092667496260219e+00
1.383512099305888121e+01 2.198938027589861122e+00
1.383891741099050599e+01 2.053436028551573145e+00
1.384271591300150028e+01 2.047407190940930377e+00
1.384651650080845009e+01 1.956019985396096672e+00
1.385031917612982433e+01 1.612430584631624697e+00
1.385412394068597841e+01 9.810075715080301961e-01
1.385793079619916490e+01 3.244652034168211685e-01
1.386173974439352286e+01 1.025815615925012025e-01
1.386555078699509380e+01 4.715640012299218142e-01
1.386936392573180932e+01 1.076725902088128350e+00
1.387317916233351234e+01 1.465214292559039677e+00
1.387699649853194295e+01 1.346351126668309917e+00
1.388081593606074904e+01 7.093467504655563971e-01
1.388463747665548809e+01 6.455527367120339477e-02
1.388846112205362893e+01 8.171626680586996372e-02
1.389228687399456064e+01 8.924567330072932236e-01
1.389611473421958010e+01 2.042527653605816340e+00
1.389994470447190977e+01 2.900314755218118989e+00
1.390377678649669235e+01 3.013740269921868276e+00
1.390761098204099433e+01 2.179357871620936749e+00
1.391144729285381132e+01 8.765225339651578906e-01
1.391528572068607161e+01 2.528356142717029797e-01
1.391912626729063618e+01 8.889558819594185479e-01
1.392296893442229511e+01 2.165289457623771341e+00
1.392681372383778537e+01 3.037082177758975376e+00
1.393066063729577841e+01 2.789025034881660758e+00
1.393450967655689254e+01 1.449345586134086261e+00
1.393836084338369474e+01 1.653038648726123938e-01
1.394221413954069355e+01 4.020941313408457063e-01
1.394606956679435328e+01 2.599551429234679745e+00
1.394992712691310111e+01 6.122095902885234864e+00
1.395378682166730755e+01 9.330621110168181076e+00
1.395764865282931133e+01 1.062353223247873757e+01
1.396151262217340872e+01 8.870977492335441639e+00
1.396537873147586772e+01 4.924121716744025434e+00
1.396924698251491570e+01 1.335939522390162892e+00
1.397311737707076063e+01 3.941173514544971113e-02
1.397698991692557868e+01 8.648552157876565616e-01
1.398086460386352137e+01 2.343915669792409062e+00
1.398474143967071903e+01 3.318246995269078070e+00
1.398862042613528800e+01 3.272971275810050429e+00
1.399250156504732523e+01 2.121593849134455922e+00
1.399638485819891365e+01 5.364977397947541249e-01
1.400027030738413103e+01 1.538726006538126967e-02
1.400415791439904112e+01 7.600846134437233559e-01
1.400804768104171316e+01 1.928771085144944664e+00
1.401193960911220593e+01 2.688357324271805737e+00
1.401583370041258014e+01 2.822055831726515862e+00
1.401972995674690559e+01 2.352439387384492875e+00
1.402362837992125222e+01 1.530008514866267433e+00
1.402752897174370261e+01 9.666529156486376451e-01
1.403143173402435373e+01 1.054745685335547023e+00
1.403533666857531337e+01 1.564745895136297804e+00
1.403924377721071082e+01 2.117457944365355615e+00
1.404315306174669153e+01 2.670308923357310960e+00
1.404706452400142780e+01 3.136763220323473433e+00
1.405097816579511871e+01 3.170585557112985953e+00
1.405489398894998843e+01 2.878619970190584354e+00
1.405881199529029679e+01 2.692368188359296255e+00
1.406273218664233404e+01 2.520881864622651847e+00
1.406665456483443677e+01 2.068548849890703423e+00
1.407057913169697372e+01 1.635228692879309165e+00
1.407450588906235822e+01 1.411191012262520417e+00
1.407843483876505175e+01 1.257181748212246930e+00
1.408236598264156214e+01 9.983845814367668936e-01
1.408629932253045425e+01 8.655904344482223678e-01
1.409023486027234284e+01 8.403873247426645321e-01
1.409417259770990150e+01 7.277586208932689260e-01
