,index,name,teff,teff_err,teff_seg_std,teff_uncal,logg,logg_err,logg_seg_std,logg_uncal,fe,fe_err,fe_seg_std,fe_uncal,vsini,vsini_err,iso_mass,iso_mass_err1,iso_mass_err2,iso_radius,iso_radius_err1,iso_radius_err2,iso_logage,iso_logage_err1,iso_logage_err2,iso_age,iso_age_err1,iso_age_err2,iso_teff,iso_teff_err1,iso_teff_err2,iso_logg,iso_logg_err1,iso_logg_err2,iso_fe,iso_fe_err1,iso_fe_err2,iso_parallax,iso_parallax_err1,iso_parallax_err2
387,1206,10697,5634.65986786,100.0,83.76416900105,5685.16851745,3.9575572156599996,0.1,0.1297070332335,4.07182477978,0.1759707795065,0.06,0.07655838896485,0.1841961673635,1.702601489865,,1.10285226189,0.09671757660435,-0.07869228188784999,1.6953390205,0.2646237358315,-0.22622859536099998,9.88771910138,0.1073232672845,-0.1255452579785,,2.164676582075,-1.938520799545,5634.545227664999,100.721225495,-97.17400417125,4.0104920994099995,0.100408645928,-0.09299672697735001,0.155086272755,0.062414867648800006,-0.0601459022211,2.724279145785,0.4231287118125,-0.3721806968885
388,1207,4203,5630.542904475,100.0,108.275115492,5681.289518895,3.977001063785,0.1,0.113803327861,4.20508012537,0.41003764517200003,0.06,0.08552554892,0.45208423453799995,1.561575208105,,1.2089562791600001,0.114222406597,-0.0925457541674,1.70137838793,0.2540448971755,-0.21091052737000002,9.77129929978,0.12386181814399999,-0.146983766353,,1.949192526355,-1.695756184935,5646.80901055,97.2793206571,-104.0140089785,4.051061222445,0.0927164493049,-0.09676740319874999,0.3835799320535,0.0520939033284,-0.059817411092549996,2.703429329165,0.38854379219300006,-0.3579948680305
389,1208,3545,4747.893254545,100.0,51.3296722891,4849.6579504050005,2.7145294759550005,0.1,0.0897933188626,2.6975305206649995,-0.02621934613215,0.06,0.08025071320395,-0.047209169761399994,3.7542779884249997,,1.8402224024099998,0.42746489649450004,-0.46891567669199996,10.4494950812,1.0274967955245,-2.21693395516,9.126250304795,0.3891097657635,-0.2339398160865,,1.95365822561,-0.5559760428614999,4800.625414455,102.2560383175,-112.88784984399999,2.68386267306,0.10178759678455002,-0.10006804003985001,-0.042772676089650005,0.0644605706054,-0.06038728416595,0.485452787746,0.14106531662299998,-0.04091246208165
390,1209,8574,5983.52292969,100.0,43.988696018400006,6013.866926065,4.137277257905,0.1,0.06250682216060001,4.170273261675,-0.0019239220797425004,0.06,0.06525650696554999,-0.019403208537149996,3.974846033295,,1.0772772932299999,0.0860845372914,-0.0625045142703,1.394462912985,0.19276422542149999,-0.17080320397499998,9.775476720514998,0.104034738859,-0.1347769112245,,1.614082491755,-1.5910722929399999,5990.088857605,96.63454706345001,-101.270595237,4.172182234615001,0.0970700179779,-0.08698688181904998,-0.01934837216325,0.060413076542399996,-0.06268441762595,3.213400840585,0.45470413084350003,-0.3962051558455
391,1211,4208,5587.781729955,100.0,65.98621163005001,5640.999985405,4.469586502595,0.1,0.1452359283345,4.403290026675,-0.22552439437400001,0.06,0.05412335466275,-0.2753125538085,0.008315393695767656,,0.8428692630135,0.038236237799,-0.0347577729366,0.8510225836055001,0.0626102024782,-0.04642266895029999,9.857891742145,0.201859071376,-0.4257581901675,,4.26499858152,-4.504497950725,5590.603074715,98.3625817308,-95.46892720215,4.498689527285,0.0551800603058,-0.06475414038085,-0.2467218903065,0.061575857388000005,-0.060180054997299996,5.48498205909,0.346305656329,-0.4006206842955
392,1213,285968,4752.2866266,100.0,788.4596836195001,4853.797380915,4.498206687434999,0.1,0.8613968084535,4.169233980945,-0.7698302297149999,0.06,0.6033447623285,-0.8982671858819999,81.5755541354,,0.5973801420095,0.0200644140575,-0.01864203681615,0.5742827155144999,0.016033940111350002,-0.0164882755391,9.909144103455,0.1764868059415,-0.412494792398,,4.05531130666,-4.964410372385,4765.892675265,99.14379082795,-101.1974238953,4.6952467347199995,0.019325417279949998,-0.01838826306145,-0.785845542501,0.05945948265375,-0.0627674398769,9.008100165685,0.395448963434,-0.346481236571
393,1214,28343,4451.606452765,100.0,129.4065195965,4570.49683851,4.42670995921,0.1,0.3629938514295,4.42763480965,-0.08355965207624999,0.06,0.163326006746,-0.11283479211,3.04451146321,,0.6704930416215,0.02511469088745,-0.02398243003105,0.652929185988,0.02225276755155,-0.021117111139300003,9.914804197795,0.172584166737,-0.40398039691699994,,4.0101836540299995,-4.9766240622849995,4465.129955135,99.9735497213,-98.62448397040001,4.63316488834,0.019752529330349995,-0.019362435601050002,-0.09670742403170002,0.0614243768624,-0.06026614590365,8.1794420405,0.41074550365249995,-0.38460595256499996
394,1215,32963,5706.00009185,100.0,92.82788018885,5752.38520119,4.265212775385001,0.1,0.1211557076475,4.348517278745,0.09491498020595,0.06,0.07778090420665,0.09142831085300002,3.381226015405e-07,,0.9882464489545,0.052659366303150004,-0.0480696120396,1.144859028695,0.150646443346,-0.116619897289,9.915464726465,0.11163162165150001,-0.1806527635065,,2.4122390502,-2.80043377179,5703.41567291,100.07776413605,-95.98353966464998,4.303021578545,0.0930734614097,-0.09626157236444999,0.07394717668564998,0.062191001240900004,-0.06167439889859999,4.006654652065,0.4666085557225,-0.4717684277545
395,1217,hip30112,4498.18224425,100.0,192.463534517,4614.380500085001,4.489766400040001,0.1,0.327571834834,4.54184292288,0.017926142079,0.06,0.11856698808750002,0.0033150660279150004,3.153140245835,,0.7014364166975,0.029154529379400003,-0.0254429850073,0.6803652860080001,0.023502063291049997,-0.02312433008295,9.89162573214,0.18813731781399998,-0.4284765628085,,4.224322664444999,-4.886505131205,4503.207118009999,106.2514610365,-97.62243048385,4.617668497435,0.02076100107775,-0.02029009476295,-0.0005328503036149995,0.060052639677050004,-0.060007945748599995,7.78225904718,0.394362045603,-0.3563917825285
396,1228,47186,5661.094964475,100.0,103.280413427,5710.07563758,4.233246294285,0.1,0.139906930807,4.400398788535,0.26992870216099996,0.06,0.08989250167945001,0.29173042354300005,0.5582828556395001,,1.061240348975,0.07130676876675,-0.05495986114355,1.2442765629750001,0.173783818601,-0.142015614839,9.850120614005,0.122999171891,-0.1590061048445,,2.3183936701850003,-2.171056507215,5667.682230320001,94.2371219583,-103.061804655,4.262210214095001,0.09647348857204999,-0.0926706319165,0.25059059210400003,0.061331988589949996,-0.06138279940545,3.691018387485,0.489667822399,-0.46061910957700003
