,curv,dvdt,e1,e2,e3,e4,gamma_apf,gamma_j,gamma_k,gamma_lick,jit_apf,jit_j,jit_k,jit_lick,k1,k2,k3,k4,num_planets,per1,per2,per3,per4,secosw1,secosw2,secosw3,secosw4,sesinw1,sesinw2,sesinw3,sesinw4,star,tc1,tc2,tc3,tc4,tp1,tp2,tp3,tp4,w1,w2,w3,w4
64,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,hip10449,,,,,,,,,,,,
65,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,13997,,,,,,,,,,,,
66,6.406065778781863e-08,0.0001949948094268676,,,,,,-9.82027681193219,-13.39090042887025,,,2.3503703071663185,3.037363504622985,,23.682968350737475,,,,1,4489.800886722063,,,,-0.18426338434916675,,,,0.04300365205653276,,,,13931,765.0804297190748,,,,,,,,,,,
67,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,2.0,2.0,,,,,,0,,,,,,,,,,,,,14412,,,,,,,,,,,,
68,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,hip11048,,,,,,,,,,,,
69,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,15335,,,,,,,,,,,,
70,-1.3093781596699052e-07,-0.0011773395343176022,,,,,,0.46630015708238276,2.4818933807770414,1.3387245803685115,,2.8322404707167577,3.3625654871628967,16.28569818789971,11.194144838418884,,,,1,75.44351728671555,,,,0.09608609247201984,,,,0.41809837905067326,,,,16141,18.9794660399804,,,,,,,,,,,
71,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,16287,,,,,,,,,,,,
72,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,16275,,,,,,,,,,,,
73,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,16397,,,,,,,,,,,,
74,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,16623,,,,,,,,,,,,
75,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,gl109,,,,,,,,,,,,
