,hostname,status,mass,mass_med,mass_minus,mass_plus,axis,axis_med,axis_minus,axis_plus,per,per_med,per_minus,per_plus,k,k_med,k_minus,k_plus,e,e_med,e_minus,e_plus
58,142267,S,140.12495006200925,140.13254876822074,136.46058716967622,143.74427529209532,0.4904936383100512,0.4905069152009982,0.4836779701713178,0.49712552962123796,138.57926082527229,138.57922847117595,138.57872750360264,138.57968527897853,6788.7595368404345,6788.696980131432,6786.4255226930845,6791.0283435746605,0.5475474646345599,0.5475277820933766,0.5472622368966713,0.5478031639042639
59,143761,K,1.0482020892834625,1.0481433906019209,1.0161738961645397,1.0798254954196191,0.2203494385896632,0.22035097091748607,0.21699420374593348,0.22363038093854454,39.84348027507738,39.84358887372644,39.84290572740579,39.84425574944221,66.99663983051417,66.98907255802953,66.75732000254878,67.23175141211651,0.03423370376224457,0.034336622770651554,0.030785365285016318,0.0378803566913149
60,143761,K,0.0891723884608879,0.08895133018754439,0.0832169228848285,0.0947976649457655,0.4141180619229544,0.4140833443229379,0.40776813140700907,0.4202654345047765,102.65393535573669,102.6439175707714,102.5643674987966,102.72027463535841,4.162209418722589,4.1605799140315565,3.9180645623224017,4.3985234171030445,0.05857321431000667,0.04799212614234752,0.014407990337316743,0.10212685592470744
61,14412,N,0.05623076670019063,0.07755167772791581,0.05472134959304144,0.13401783748467713,0.9013585166796478,0.9054047404471912,0.8928509800182323,0.9176831554641618,359.8790979981779,362.4676345025602,359.81256923172486,364.65300307357114,2.0667377144465804,2.7099615496906626,2.0139015623828804,4.8317478948523656,0.34624170084656025,0.2058216415926276,0.058214440346093466,0.4926513831013046
62,144579,N,0.0578229526142329,0.05837971534386264,0.05135237252771874,0.06559029750597316,0.5552367118522834,0.5551589084180321,0.5478135169415164,0.5621927319296615,182.73407418939945,182.6905292113293,182.5302265975283,182.81621072428104,3.5969573852193952,3.4928921001244007,3.1147985263281286,3.8784093301388882,0.6706942267625609,0.6312110802798057,0.5389872090545496,0.7072961264851566
63,145934,S,86.24445506784967,-1120.7307993888016,-1807.853428425336,1963.0556382654665,25.381679418402594,,,,38579.49727476565,340871.06404045306,169587.70163662973,614120.4407031408,402.1563169609774,8569.145473612512,2505.0932828202967,26333.205707738856,0.024262049154029405,0.21767353281789176,0.06563937593644502,0.42109004234670777
64,145934,K,1.7767067912722008,1.833,1.439,2.225,4.395684193781474,4.39,3.919,4.782,2780.454272942679,2775.3611982982184,2732.033985662586,2820.869071960044,19.932552884741963,20.722491806484843,18.92150694394255,22.56716289888231,0.055271018975690686,0.056661434263908975,0.016917384623274998,0.1193764006983046
65,154345,K,1.1150519847697618,1.119473678732858,1.0758037010412873,1.1637014769636396,4.125547609958226,4.1253039565759,4.061937384147104,4.187812771416622,3267.374434623712,3267.9152299711077,3239.952461500353,3295.6177734824078,16.669678584014658,16.746907862082807,16.30592194708083,17.191504656750126,0.028497176648957456,0.021703233246380904,0.006510413956361057,0.04404029932175926
66,156279,K,9.506420202613876,9.508474876976454,9.221314022180307,9.78883046378931,0.5040345701205781,0.5040538209833181,0.4963922677151305,0.5114298986823814,133.3943814758982,133.39522978925527,133.38658444923848,133.40386102883656,509.96044228026534,510.00497962357116,509.4177305114312,510.5893346217912,0.6476545734063021,0.6476159293033322,0.646862016814459,0.6483625224122662
67,156279,K,9.425567553900168,9.43005199680684,9.139319556100062,9.716254174629556,5.440113555634851,5.442410570039412,5.355572830117655,5.527254768771007,4729.976672355252,4733.072933254347,4696.592533393032,4770.1950734121165,121.35144438091149,121.38391226707807,120.70807214545604,122.06927737058304,0.25730454672343633,0.25751382515708554,0.25170494916687525,0.2632782413486543
68,156668,C,0.09918795218648274,0.09631625222287846,0.08785244644320751,0.10497463118946038,1.5598969119665411,1.5604746365017492,1.539494448817145,1.5809608771224062,811.4588919214192,811.8436010647748,806.9870638200313,816.8606054616299,2.608917897752828,2.5281886193531653,2.3113704669079773,2.75113958995507,0.1610536936825258,0.11543136600501401,0.03865042938791791,0.2063399074823441
