,index,name,type,teff,teff_err,fe,fe_err,iso_mass,iso_mass_err1,iso_mass_err2,iso_radius,iso_radius_err1,iso_radius_err2,iso_logage,iso_logage_err1,iso_logage_err2,iso_teff,iso_teff_err1,iso_teff_err2,iso_logg,iso_logg_err1,iso_logg_err2,iso_fe,iso_fe_err1,iso_fe_err2
1344,1344,64090,synth,5273.41369371,100.0,-1.59204222155,0.06,0.614778815476,0.018503025133400002,-0.0199362754513,0.546577809667,0.011779588667,-0.0119710920899,9.42716451222,0.346188858997,-0.551930099484,5221.76461615,95.9969584207,-97.08770251680001,4.75046227453,0.0137171518711,-0.013625283817200002,-1.62700795532,0.062124318427999994,-0.061715060232499994
1345,1345,g161-29,synth,4790.99976989,100.0,0.0398074824958,0.06,0.7658748772689999,0.029291207102799997,-0.027478335627,0.7442785675910001,0.028091276006299997,-0.025741962065599998,9.93195198998,0.159214197002,-0.385075725206,4805.82986554,98.77202173,-98.9727303952,4.57611206052,0.026939649274400002,-0.026818627039400005,0.021167074934400003,0.06192112189730001,-0.059913533181
1346,1346,hip46655,synth,4994.1033102,100.0,-0.940039568501,0.06,0.613926347231,0.018686443482800002,-0.020704114606999998,0.5744587356409999,0.0164143481927,-0.014959033818399999,9.74020184157,0.289548939643,-0.526925592831,4977.65701992,96.63706326329999,-93.7705115214,4.7062879918,0.018709087399200002,-0.0217830453211,-0.968891704011,0.0607191054218,-0.0624239306876
1347,1347,88218,synth,5737.08473371,100.0,-0.136914171125,0.06,0.972764915574,0.0789594978447,-0.060463442405699994,1.56641997604,0.250615785089,-0.196332913142,9.98271501034,0.09082306080250001,-0.113287413967,5743.10779909,95.79125105860001,-90.36954985620001,4.0243276821,0.0965618001643,-0.09658534412139999,-0.156314311178,0.0587728823434,-0.0617122372459
1348,1348,93745,synth,5936.7967757,100.0,0.13126632740900002,0.06,1.17604852417,0.10716765111,-0.08467987578019999,1.57572191575,0.226354957156,-0.191597624183,9.70032384744,0.12388882358799999,-0.12995001494300001,5939.84391872,91.2240202599,-92.819785528,4.10530929178,0.0889230915037,-0.09029119929839999,0.11251514497000001,0.060618168937,-0.0584072205277
1349,1349,90722,synth,5708.53281509,100.0,0.366744443096,0.06,1.19286970621,0.107268608602,-0.0881130385313,1.55147497389,0.22343947983600002,-0.18189051100099998,9.74122124005,0.134210705626,-0.13153232928,5711.12882159,86.2638240425,-86.5898907015,4.1251407242900004,0.08442499539010001,-0.0907581502963,0.343405069972,0.0551613507199,-0.06018595861000001
1350,1350,88133,synth,5471.769962915,100.0,0.3858522420485,0.06,1.23747597962,0.129185438574,-0.1077878544905,2.035267524525,0.3560898721895,-0.2761489896305,9.76427292736,0.14053984456399998,-0.1518113437685,5466.28830601,100.01892199625,-98.9099185856,3.90190000579,0.0901534109587,-0.09520185198895001,0.35754053808549996,0.05757174885125,-0.05723734966735
1351,1351,88133,synth,5471.769962915,100.0,0.3858522420485,0.06,1.23747597962,0.129185438574,-0.1077878544905,2.035267524525,0.3560898721895,-0.2761489896305,9.76427292736,0.14053984456399998,-0.1518113437685,5466.28830601,100.01892199625,-98.9099185856,3.90190000579,0.0901534109587,-0.09520185198895001,0.35754053808549996,0.05757174885125,-0.05723734966735
1352,1352,88133,synth,5471.769962915,100.0,0.3858522420485,0.06,1.23747597962,0.129185438574,-0.1077878544905,2.035267524525,0.3560898721895,-0.2761489896305,9.76427292736,0.14053984456399998,-0.1518113437685,5466.28830601,100.01892199625,-98.9099185856,3.90190000579,0.0901534109587,-0.09520185198895001,0.35754053808549996,0.05757174885125,-0.05723734966735
1353,1353,210460,synth,5465.40185226,100.0,-0.21158252841400002,0.06,1.05569399657,0.155849152208,-0.112266424637,2.13562410896,0.406143339844,-0.3176541337,9.8453791976,0.17156155829599998,-0.21865285350299998,5452.68603119,101.61266633,-100.56056855700001,3.79253907834,0.09345420678480001,-0.0928487882102,-0.235048775134,0.0624987018862,-0.059961847408699996
1354,1354,88072,synth,5732.31502543,100.0,0.049919259227,0.06,0.9757457532189999,0.050034603027300006,-0.04665291190069999,1.0886436825599999,0.13332823392,-0.10161342223400001,9.88360366372,0.129337852131,-0.239549987227,5726.57586617,99.3175245075,-95.1218065296,4.341543028909999,0.0887625502525,-0.0935094864326,0.0276121987848,0.0615127462612,-0.062015377145100005
1355,1355,88371,synth,5593.0738817,100.0,-0.225835113363,0.06,0.853085084412,0.0353099842094,-0.0327867704146,1.00943075746,0.238178170946,-0.111121928553,10.088469679500001,0.039911924426899996,-0.09704494977160001,5687.1879399,79.0216027111,-96.6992317565,4.34479204133,0.0919823345725,-0.165464645004,-0.22440067842099998,0.0609179796763,-0.0620106583215
1356,1356,88725,synth,5579.44856845,100.0,-0.572985608003,0.06,0.760044529417,0.0309275033814,-0.0279605846036,0.763054719818,0.0433999615854,-0.0363062548509,9.92916995974,0.15787678474199998,-0.36595365769500005,5584.50231035,99.06352973979999,-95.91496272219999,4.54806212637,0.048945190201699997,-0.047476901993000004,-0.591541640456,0.06193044404069999,-0.058065731442900004
