,hostname,status,pl_index,per,per_errplus,per_errminus,mass,mass_errplus,mass_errminus,axis,axis_errplus,axis_errminus,tc,tc_errplus,tc_errminus,w,w_errplus,w_errminus,k,k_errplus,k_errminus,e,e_errplus,e_errminus,letter
61,1461,K,1.0,5.77142,0.00025,0.00031,0.0208,0.0019,0.0018,0.0636,0.00095,0.00099,2455839.37,0.11,0.14,-0.2,1.3,0.98,2.32,0.2,0.18,0.062,0.06,0.042, b
62,1461,K,2.0,13.504,0.0022,0.0022,0.0222,0.0028,0.0028,0.1121,0.0017,0.0017,2455200.11,0.52,0.48,0.38,0.72,1.3,1.88,0.23,0.23,0.11,0.1,0.077, c
67,147379a,K,1.0,86.592,0.08,0.073,0.097,0.012,0.012,0.3315,0.0024,0.0024,2458589.9,3.7,3.7,-0.1,1.0,0.96,5.99,0.73,0.72,0.1,0.11,0.068, b
69,154345,K,2.0,3420.0,61.0,46.0,0.905,0.071,0.089,4.272,0.086,0.079,2456384.0,58.0,48.0,-0.12,0.76,0.72,13.29,0.95,1.3,0.038,0.036,0.027, b
70,156279,K,1.0,133.4031,0.0037,0.004,9.5,0.31,0.32,0.5041,0.0082,0.0085,2455464.94,0.12,0.13,1.4956,0.0018,0.0018,509.95,0.55,0.57,0.64779,0.00068,0.00066, b
71,156279,K,2.0,4758.0,28.0,27.0,9.45,0.31,0.32,5.461,0.091,0.095,2455834.7,3.1,3.2,-1.382,0.017,0.018,121.48,0.52,0.55,0.2597,0.005,0.0049, c
72,156668,C,1.0,811.3,5.2,5.3,0.0991,0.0079,0.0077,1.57,0.017,0.017,2455890.0,25.0,19.0,-0.19,0.92,0.74,2.56,0.2,0.2,0.089,0.084,0.061, c
73,156668,K,2.0,4.64275,0.0002,0.00022,0.0158,0.0013,0.0013,0.05024,0.00051,0.00052,2455201.6,0.15,0.15,0.63,0.37,0.43,2.34,0.2,0.2,0.235,0.072,0.072, b
76,16141,K,1.0,75.455,0.019,0.018,0.25,0.018,0.017,0.3609,0.0073,0.0076,2451932.3,1.2,1.1,1.05,0.28,0.35,11.52,0.65,0.64,0.195,0.051,0.051, b
80,164922,K,1.0,1198.5,3.2,3.1,0.344,0.013,0.013,2.149,0.025,0.025,2456743.0,10.0,9.7,-1.0,2.1,0.41,6.98,0.21,0.22,0.065,0.027,0.029, b
