,Nobs,Nobs_CORAVEL,Nobs_apf,Nobs_j,Nobs_k,Nobs_lick,Nobs_mcdonald,baseline,baseline_CORAVEL,baseline_apf,baseline_j,baseline_k,baseline_lick,baseline_mcdonald,med_err_CORAVEL,med_err_apf,med_err_j,med_err_k,med_err_lick,med_err_mcdonald,name
253,154,,,123.0,31.0,,,8120.698264436796,,,4844.725892436691,2919.868019999936,,,,,0.8141227046713164,1.5538797173470187,,,216259
254,234,,,223.0,11.0,,,6302.781058610417,,,5188.019174595829,1008.0381140001118,,,,,0.6522103336279004,1.596162941050048,,,216520
255,54,,,33.0,21.0,,,7730.844947000034,,,5094.035802999977,2529.92134300014,,,,,0.9950552139699992,1.4363302196836947,,,216899
256,384,,159.0,60.0,,165.0,,8648.359617311973,,1823.9617200000212,4724.149075155146,,4782.846444312017,,,2.167589024623983,1.199176032691675,,3.957686303673085,,217014
257,370,,229.0,83.0,58.0,,,7613.065295000095,,2119.156313000247,5413.200909999665,2128.0867130002007,,,,2.0640944946213913,1.040288089806517,1.3872088204162243,,,217107
258,46,,,12.0,34.0,,,7041.886864,,,4779.975209000055,1853.8628119998612,,,,,1.2357183694839478,1.630149483680725,,,217165
259,81,,,43.0,38.0,,,8018.107796999626,,,5081.172472999897,2831.133843000047,,,,,0.6339530881510301,0.8755358634269939,,,217357
260,21,,,11.0,10.0,,,6227.976690999698,,,5059.083160999697,856.7256020000204,,,,,1.32157925151227,1.5376346623699786,,,21774
261,72,,,17.0,14.0,41.0,,7430.827771999873,,,5132.914572000038,976.0433099996299,4109.947805999778,,,,1.5753952663441986,1.746405957177839,7.974793948323031,,217877
262,71,,,38.0,33.0,,,7404.900770000182,,,5150.089555000421,2212.8862029998563,,,,,1.0345741529346273,1.5765807892105639,,,217987
263,27,,,12.0,15.0,,,7638.132316000294,,,5238.73017500015,2059.2363660000265,,,,,4.661347736387214,5.805010957132845,,,21847
264,72,,,48.0,24.0,,,8295.270514999982,,,5358.243027000222,2829.1310069998726,,,,,1.0398044063809346,1.2160325721739422,,,218566
265,126,,,97.0,,29.0,,7485.785976999905,,,4563.78195389593,,4109.954746999778,,,,1.1535919449143388,,5.971611097827786,,218868
266,491,,285.0,160.0,,46.0,,9775.848707176745,,2092.814294976648,5410.131226541009,,4410.10813104827,,,1.682500405902886,0.7932341718431346,,3.9867170195550106,,219134
267,77,,,57.0,20.0,,,8186.396273999941,,,5346.346100999974,2719.267801000271,,,,,0.9964724486072254,1.4385580040012595,,,219538
268,33,,,33.0,,,,3960.0489894761704,,,3960.0489894761704,,,,,,2.022861403524848,,,,219623
269,27,,,27.0,,,,4521.6756839999,,,4521.6756839999,,,,,,1.3361051630318788,,,,220221
270,76,,,55.0,21.0,,,8280.259972000029,,,5095.2110454277135,2830.1537959999405,,,,,1.1503608639066636,1.346999105758903,,,220339
271,458,,158.0,122.0,,178.0,,11523.107705976348,,1905.6266806116328,3458.8781459848396,,8182.005573615432,,,1.3200684050045486,0.9928727656547922,,3.8129557657974207,,22049
