,hostname,status,pl_index,mass,mass_med,mass_minus,mass_plus,axis,axis_med,axis_minus,axis_plus,per,per_med,per_minus,per_plus,tc,tc_med,tc_minus,tc_plus,w,w_med,w_minus,w_plus,k,k_med,k_minus,k_plus,e,e_med,e_minus,e_plus,e_mode,e_68,insol,insol_med,insols_minus,insols_plus,teq,teq_med,teq_minus,teq_plus,post_path
103,185144,A,1.0,0.10401842970000001,0.10430180539999999,0.09754514139,0.11117312720000001,3.139394162,3.131662545,3.079029967,3.183833542,2264.93164,2256.670675,2226.365222,2288.007078,2456957.856,2456946.238,2456906.204,2456988.788,2.075993949,-1.071463705,-1.299170149,-0.8483141409,1.965708101,1.9744430119999998,1.8483169959999999,2.1051283240000003,0.32235808050000003,0.3143744473,0.2542481146,0.3788953868,0.315,0.3450786518,0.040760760089999994,0.040951737860000004,0.03791550231,0.04422524084,1.439457821,1.437776656,0.03791550231,0.04422524084,/data/user/lrosenth/legacy/final_run/185144/185144_pchains.csv
104,185144,N,2.0,0.029852339260000003,0.028330414730000003,0.024307926119999997,0.03243024433,0.8988503118000001,0.8992618148,0.8863766437999999,0.9119475156999999,346.990344,347.1128796,346.2967683,348.03266360000003,2455129.701,2455118.87,2455092.738,2455136.8819999998,-2.729678242,0.2572449818,-0.269489368,0.6257772359,1.139551631,1.041552572,0.8654408278,1.231238515,0.4826666386,0.39024904759999995,0.1814453382,0.5430254072999999,0.435,0.4701516378,0.49723217090000005,0.4968440549,0.46119471009999996,0.5351477172,0.7702287179999999,0.7703790923999999,0.46119471009999996,0.5351477172,/data/user/lrosenth/legacy/final_run/185144/185144_pchains.csv
105,185414,S,1.0,109.37330530000001,109.392101,105.71296869999999,113.03264250000001,6.023602516,6.024403992000001,5.918198658,6.1272398489999995,5541.971143,5542.165571,5534.190292,5550.125322,2456138.236,2456138.233,2456138.02,2456138.443,2.485627986,-0.6559479525,-0.6568968321,-0.65499849,1683.5403219999998,1683.5282670000001,1681.9883940000002,1685.065119,0.6934372840999999,0.6934456136,0.6928538009,0.6940242775,0.69,0.6937185453,0.028186187830000004,0.02818105247,0.025862683480000002,0.030691669100000003,1.578521228,1.5785931359999998,0.025862683480000002,0.030691669100000003,/data/user/lrosenth/legacy/final_run/185414/185414_pchains.csv
106,186427,K,1.0,1.753051758,1.7523819980000002,1.698973843,1.806285946,1.676149673,1.675949939,1.650685191,1.701064331,799.4509134,799.4522595999999,799.3026613,799.6065841,2456937.276,2456937.3230000003,2456936.9390000002,2456937.702,1.4428265669999998,1.4441539369999998,1.4337259480000002,1.4543646540000001,53.15363397,53.16323119,52.85099767,53.48468994,0.6828627378000001,0.6831808184999999,0.6801299615,0.6862862706999999,0.68,0.6846554993999999,0.4570056762,0.45704981,0.41911634020000005,0.4979614659,0.7866455924,0.7866266016,0.41911634020000005,0.4979614659,/data/user/lrosenth/legacy/final_run/186427/186427_pchains.csv
107,187123,K,1.0,0.5006673977,0.50090784,0.4850316758,0.5167437356,0.04185597078,0.04185573243,0.04119119466,0.0425066275,3.0965969639999997,3.096597075,3.096594826,3.0965993480000003,2455665.931,2455665.934,2455665.929,2455665.937,0.6533543954,0.3213127396,-0.8441402601000001,1.102975174,68.88835149,68.92305231,68.65238087,69.19245837,0.005528901903,0.004036601067,0.001193532,0.008007627538,0.0,0.005882522368,755.1175212999999,754.9828812000001,691.6845225,823.3852349,0.12338315609999999,0.1233886567,691.6845225,823.3852349,/data/user/lrosenth/legacy/final_run/187123/187123_pchains.csv
108,187123,K,2.0,1.714339992,1.71276891,1.6554533219999998,1.770978762,4.430876147,4.432012704,4.359885988,4.50242047,3372.740836,3373.730286,3357.062465,3390.9069649999997,2458863.377,2458870.962,2458845.059,2458896.147,-1.7445076430000002,1.376817572,1.307763207,1.4429966669999998,23.54040812,23.52782172,23.21948118,23.82487979,0.2270511161,0.2274633438,0.2106658104,0.2436721959,0.225,0.23521834960000002,0.06738297234,0.0673451152,0.06168823536,0.07347011227999999,1.269468623,1.2696469890000002,0.06168823536,0.07347011227999999,/data/user/lrosenth/legacy/final_run/187123/187123_pchains.csv
109,188015,K,1.0,1.4545742190000002,1.454088227,1.39428881,1.515387218,1.18697196,1.1869686190000002,1.168337932,1.205089923,462.57745880000004,462.585595,462.22006330000005,462.9345122,2452094.219,2452094.442,2452089.019,2452099.816,-2.3683623519999997,0.7574693165999999,0.604825309,0.9290546303,37.71395222,37.75113125,36.66290919,38.82335421,0.16834195329999999,0.16982125350000002,0.144154284,0.1947406751,0.17,0.1815557194,0.8214543118000001,0.8216831290000001,0.7513912345999999,0.8971090561,0.6793814095999999,0.6793341072,0.7513912345999999,0.8971090561,/data/user/lrosenth/legacy/final_run/188015/188015_pchains.csv
110,18803,A,1.0,0.300626545,0.2970117586,0.263438962,0.3314518515,3.041671668,3.051328355,2.9893324430000003,3.114098606,1953.268884,1960.3577239999997,1932.117663,1995.8603890000002,2454642.1380000003,2454586.9869999997,2454415.0840000003,2454724.832,-2.032007681,1.0931235240000001,0.7461674589,1.3590859130000001,5.85384279,5.728673991,5.0723085160000005,6.4270429270000005,0.5363395417,0.5134632506,0.39208197570000003,0.6156589066,0.52,0.5635731726,0.10110684550000001,0.1003685649,0.09186808996,0.1096064867,1.14700252,1.149105977,0.09186808996,0.1096064867,/data/user/lrosenth/legacy/final_run/18803/18803_pchains.csv
111,189733,K,1.0,1.1644618409999998,1.162683535,1.12737399,1.198729379,0.031258300739999995,0.03125715782,0.03089288436,0.03161475256,2.2185553280000003,2.218554826,2.218540022,2.218569549,2454818.567,2454818.562,2454818.549,2454818.578,-2.623867684,0.3504520425,-0.5259916347,0.9902708029999999,205.9178239,205.65821069999998,201.62573930000002,209.8369589,0.03102742637,0.02680467957,0.008766034652,0.047776966629999994,0.015,0.03662163377,355.131482,355.14380939999995,331.4053298,380.26029700000004,0.14899174910000001,0.14899045619999998,331.4053298,380.26029700000004,/data/user/lrosenth/legacy/final_run/189733/189733_pchains.csv
112,190360,K,1.0,1.491529962,1.4920338169999998,1.449298363,1.534622434,3.95476769,3.955001737,3.9020389719999997,4.0064625330000005,2892.450848,2892.209201,2887.6872129999997,2896.710744,2456758.174,2456757.972,2456749.525,2456766.652,0.2460470253,0.24189244899999998,0.21495935030000002,0.27092955,22.72479697,22.73429517,22.4396674,23.02396865,0.3274209632,0.3273929216,0.3187322087,0.3355185746,0.325,0.3312512828,0.07329423061000001,0.07327274426,0.06768488242000001,0.0793738865,1.243059923,1.243151041,0.06768488242000001,0.0793738865,/data/user/lrosenth/legacy/final_run/190360/190360_pchains.csv
