,hostname,status,mass,mass_med,mass_minus,mass_plus,axis,axis_med,axis_minus,axis_plus,per,per_med,per_minus,per_plus,e,e_med,e_minus,e_plus
144,218868,A,0.4712022906894927,0.42301753038685297,0.3639363552618369,0.4968755608334275,2.942701682331888,2.931993163863285,2.857384240437874,2.9998005645293038,1842.4589449195735,1835.2215459434487,1780.800880944605,1879.111632363576,0.4270038993753257,0.34223882242892434,0.22106403658756424,0.4761808103714066
145,219134,K,0.31769778897753603,0.3155375338148148,0.3012232392454439,0.32979347200244313,2.9146904207604627,2.916761478127772,2.8757992611963634,2.9572563384668418,2040.5441705649484,2042.7310439042112,2023.139600718064,2062.816909429734,0.11212490589636456,0.09999552798154072,0.05989772151211568,0.1398060452252636
146,219134,K,0.050795135627097886,0.05055182559704309,0.047312332611180466,0.05384166628813,0.2349823224353836,0.2349770778702349,0.2320368037655081,0.237839891097298,46.71002905253215,46.707212767285576,46.69223926238224,46.72248980458607,0.0942044086083859,0.07643108868852544,0.024947225303588137,0.1366971426987716
147,219134,K,0.012357346251075102,0.012224324215061012,0.011027490152485508,0.013419869800019222,0.03846006516581183,0.03846049275594037,0.03797943534386832,0.03892915063126147,3.0929462538435586,3.0929414149428482,3.0928512627959144,3.0930325554633087,0.020000197996579764,0.06507034383177729,0.019209958633739255,0.1388685240081476
148,219134,N,0.04379071086596102,0.04328256873108997,0.03832757015839528,0.048209384301297176,0.6010637642308538,0.6010183408801113,0.5933983614710158,0.6084464816432033,191.09009219710904,191.07251144279667,190.46876573121605,191.651670234346,0.22132918867518664,0.19620685612352545,0.0909917187316023,0.3025249263546062
149,219134,K,0.02495595071588837,0.024363117312891668,0.021968900543551183,0.026772819463715968,0.14566242772148913,0.14566339991697666,0.14384087366529813,0.1474392341513292,22.797050728451556,22.79722010011324,22.7894066153582,22.80422765230348,0.0738668782091115,0.0883038367175713,0.026599930589425752,0.18237348043632665
150,219134,K,0.012684813995888628,0.01221896515378362,0.010633014503266768,0.013822256375283,0.06479587757284534,0.06479838783384688,0.06398785085175733,0.06558808843302519,6.763607763281107,6.763805032786366,6.763056324744903,6.764704562010068,0.16626406437224056,0.15749968409273998,0.04982378106843538,0.2932744045567399
151,219134,A,0.3845780145844333,0.38774813615330894,0.3417059952284375,0.4412116579511779,6.7394677575516555,6.613303653489747,6.0951290517462935,7.0443902605371385,7174.5678915222215,6984.759004724552,6177.460451676996,7651.107566211956,0.799149972914095,0.7817244793242655,0.7328719228312512,0.8312352051623032
152,22049,K,0.6977703035288554,0.6949833700958981,0.6555511404252082,0.7347561231101656,3.512897999532783,3.507675924283056,3.4577039484557717,3.55704122001167,2643.527080942325,2637.8153162463473,2616.049004791936,2659.907238639264,0.09647423875304596,0.11222701901045654,0.042049714612113966,0.1901424071833928
153,22049,A,0.1821089355999845,0.16827565862897936,0.14024813456539928,0.19735354438841712,1.9580389473836304,1.9505276088837145,1.9194953846718947,1.9795259641245584,1100.062710143196,1097.5683623007217,1076.6896528576667,1104.6207994285194,0.6061627139664991,0.5306873801993396,0.19457826112346088,0.6764314154718323
154,22049,A,0.03294306290367237,0.031114747499823858,0.02551756105545171,0.036731653694787814,0.09336860874301492,0.09336962347935664,0.0921340778267546,0.09457114952912338,11.454780866704455,11.454623843252607,11.453305465929056,11.455936637785573,0.025988281968002118,0.12722893646007713,0.03678879601204309,0.2742736378995675
