,name,teff_c,teff_err_c,fe_c,fe_err_c,logg_c,logg_err_c,radius_c,radius_err_c,mass_c,mass_err_c,star,mv,bvcolor,parallax
269,208801,4819.497143765,63.606338748824996,0.09934004047175,0.058540623567025,3.4929405591199996,0.052628783925400005,3.1437426814349996,0.0758667669932,1.12289010201,0.11695849034597501,208801,3.43787939875129,1.0,0.026941000000000003
270,209458,6026.354945475,96.8980296914,-0.005500315269770001,0.059955548953,4.30739612512,0.030316015204625,1.19997599424,0.0282007051787,1.069175195875,0.04797361701205,209458,4.2857725620471605,0.53,0.0206745
271,209875,6105.54211679,93.9357079813,-0.086607622527,0.06168155293965,4.06729135046,0.034896110937600006,1.63303934444,0.03775798474505,1.12928518997,0.06845488830585,209875,3.73003334656836,0.53,0.01805
272,21019a,5360.1497172,98.37217057459999,-0.412948360853,0.0608455221439,3.708410813580001,0.02413296293115,2.35377600028,0.05529533107135,1.03829875117,0.037692991428050014,21019a,3.36404502516584,0.7,0.0269407
273,210277,5505.82855237,76.5131941386,0.213126704284,0.0593842363272,4.3271541761300005,0.0268434837888,1.1141729231,0.0252862610308,0.963925169001,0.03582619570335,210277,4.98910280091624,0.71,0.0469229
274,210302,6385.755189035001,80.3079920601,0.112062434388,0.058449319182699994,4.22645741851,0.024068378651325,1.4534271261099998,0.03604843576075,1.300609487245,0.036091362527225,210302,3.55607910454246,0.48,0.0544879
275,210312,5703.24660371,93.53363359725,0.252866142695,0.062001317029200004,4.37553459079,0.03257654482965,1.10773982935,0.026049845714550005,1.06529868547,0.050782670387150015,210312,4.90305170283687,0.66,0.016069200000000002
276,210392,5769.02697436,99.85164744915001,0.321899216152,0.0604891627786,4.1913246713999985,0.029709664176400002,1.45083862352,0.035774587705949996,1.1999911574700002,0.05324489577625,210392,3.9568113901056496,0.650001,0.0113057
277,210460,5472.08237936,91.4366853017,-0.224000362826,0.06244869858825,3.54158032107,0.009774099122134998,3.4771762016800003,0.014209571070210003,1.5397079117,0.01947294680575,210460,2.47156856409767,0.657,0.017691
278,211038,4952.00947779,54.940929731400004,-0.203002979885,0.05917766106955,3.53660753311,0.03708039921235,2.7771854477900004,0.06672437715740001,0.970603710978,0.0693910763535,211038,3.63067749212616,0.9,0.0248495
