# period  BIC_array
1.439678100966576721e+02 2.205899034168339767e+00
1.443800226562617013e+02 1.395956988583009206e+00
1.447946025104499483e+02 9.038776822167733371e-01
1.452115701106438337e+02 9.760889541462631769e-01
1.456309461445223405e+02 6.189698904550681391e+00
1.460527515394435625e+02 7.678017839224736463e+00
1.464770074659259649e+02 7.943396454569096932e+00
1.469037353411899858e+02 7.314415217052868456e+00
1.473329568327625907e+02 6.885949995792117306e+00
1.477646938621442985e+02 5.052771034158922703e+00
1.481989686085413496e+02 6.166059338985974136e+00
1.486358035126640686e+02 6.389902960213305505e+00
1.490752212805919328e+02 6.905629743988981772e+00
1.495172448877081024e+02 7.733410333224469468e+00
1.499618975827038412e+02 7.645175885792355075e+00
1.504092028916543597e+02 8.230795493407754293e+00
1.508591846221684705e+02 8.247814141756549589e+00
1.513118668676122809e+02 9.629785018232752236e+00
1.517672740114095689e+02 9.862238708594077252e+00
1.522254307314199480e+02 9.887836140555776865e+00
1.526863620043964147e+02 9.239146239765375412e+00
1.531500931105244661e+02 7.236425259649934105e+00
1.536166496380438389e+02 9.187676101121951433e+00
1.540860574879551450e+02 6.893771005810663155e+00
1.545583428788131641e+02 9.035925989001668768e+00
1.550335323516082440e+02 9.758797554878299252e+00
1.555116527747384509e+02 9.519799744235854178e+00
1.559927313490736083e+02 9.224374873350996040e+00
1.564767956131138931e+02 8.553082988007815857e+00
1.569638734482445841e+02 7.661020755798745085e+00
1.574539930840895749e+02 7.683376646942917887e+00
1.579471831039649317e+02 8.962342595710254045e+00
1.584434724504359338e+02 1.045941104759953078e+01
1.589428904309787072e+02 1.152383954620515283e+01
1.594454667237495187e+02 1.253725929814933693e+01
1.599512313834637780e+02 1.175992090731296003e+01
1.604602148473873910e+02 9.128231793947009010e+00
1.609724479414426241e+02 9.196504775298819823e+00
1.614879618864316342e+02 8.149418644946734958e+00
1.620067883043797110e+02 3.664750180409896529e+00
1.625289592250012447e+02 2.748832559171205503e+00
1.630545070922912885e+02 4.955794891012516246e+00
1.635834647712451329e+02 6.284931781959812724e+00
1.641158655547094156e+02 5.039771537064837048e+00
1.646517431703672969e+02 3.987771692190648309e+00
1.651911317878607690e+02 3.171156268208960682e+00
1.657340660260538527e+02 2.745651682334312227e+00
1.662805809604390674e+02 5.612060761966830569e+00
1.668307121306911256e+02 5.269827665392369909e+00
1.673844955483710066e+02 3.289333630431030997e+00
1.679419677047841901e+02 6.537649278102435346e+00
1.685031655789960610e+02 3.088549045411639327e+00
1.690681266460088636e+02 2.626651336729878494e+00
1.696368888851035592e+02 3.366454383328743916e+00
1.702094907883508483e+02 3.948376090310432573e+00
1.707859713692947139e+02 3.864215762013799349e+00
1.713663701718134575e+02 3.098837026136806116e+00
1.719507272791618675e+02 2.451028294645766437e+00
1.725390833231990371e+02 1.308579405426087305e+00
1.731314794938061254e+02 3.904424417605355302e+00
1.737279575484990346e+02 4.572943793685794844e+00
1.743285598222403792e+02 2.556832242006379374e+00
1.749333292374557232e+02 3.942164848177611702e+00
1.755423093142589153e+02 5.057188584961522793e+00
1.761555441808918374e+02 5.730074468007956057e+00
1.767730785843838248e+02 5.437320806682464536e+00
1.773949579014359017e+02 4.674356031080179719e+00
1.780212281495356876e+02 4.575781051165677127e+00
1.786519359983085451e+02 4.995883256320269084e+00
1.792871287811109084e+02 3.844871486513341097e+00
1.799268545068717344e+02 2.913015063116404235e+00
1.805711618721884975e+02 2.889604714154359044e+00
1.812201002736838404e+02 2.331835970522377011e+00
1.818737198206298160e+02 2.275946901379825249e+00
1.825320713478462551e+02 6.410363881308512646e+00
1.831952064288801125e+02 8.890962141869863444e+00
1.838631773894734351e+02 9.679685772484958761e+00
1.845360373213268304e+02 9.847029115711961822e+00
1.852138400961664786e+02 9.415721620032655892e+00
1.858966403801219371e+02 2.523810202591448615e+00
1.865844936484234893e+02 1.704364697667074324e+00
1.872774562004268262e+02 2.545235726643028329e+00
1.879755851749740145e+02 1.219358252919505503e+00
1.886789385660988216e+02 5.206820988881389667e+00
1.893875752390865728e+02 7.568321390096230061e+00
1.901015549468967549e+02 1.000116349524921588e+01
1.908209383469589682e+02 8.194573699977127035e+00
1.915457870183512057e+02 6.717344776603255241e+00
1.922761634793714904e+02 4.663547611213942901e+00
1.930121312055128442e+02 2.190872844211071424e+00
1.937537546478530714e+02 9.210562366111787469e-01
1.945010992518693627e+02 1.474818688062327965e+00
1.952542314766908476e+02 3.422788127372399458e+00
1.960132188147996146e+02 5.702078050715869040e+00
1.967781298121933560e+02 7.483489912013340017e+00
1.975490340890216032e+02 8.192001690322797458e+00
1.983260023607093387e+02 6.168944050264911994e+00
1.991091064595806586e+02 3.627477812476485042e+00
1.998984193569971808e+02 1.875836371270764857e+00
2.006940151860246999e+02 3.133879207642735309e+00
2.014959692646435485e+02 1.105963464009505515e+00
2.023043581195176159e+02 3.311904159045610641e+00
2.031192595103378835e+02 5.994395649489717925e+00
2.039407524547564776e+02 8.548127724240771386e+00
2.047689172539284073e+02 7.648956123276292374e+00
2.056038355186782667e+02 6.657269357725880354e+00
2.064455901963094675e+02 5.445220633120072762e+00
2.072942655980747588e+02 3.565594099455211108e+00
2.081499474273273336e+02 2.496194383954644991e+00
2.090127228083719331e+02 1.160529411561839197e+00
2.098826803160362147e+02 4.981709292938035105e+00
2.107599100059840964e+02 5.312349143703443133e+00
2.116445034457922532e+02 3.808371546346847936e+00
2.125365537468126718e+02 5.556492799010044337e+00
2.134361555968440598e+02 4.561459179911508954e+00
2.143434052936368346e+02 1.183877065279745011e+00
2.152584007792562488e+02 4.321730237581959955e-01
2.161812416753292894e+02 2.532505329526856030e+00
2.171120293192022075e+02 1.546486680286989213e-01
2.180508668010360509e+02 3.900922297879674261e-01
2.189978590018690454e+02 4.555202120553190070e-01
2.199531126326751007e+02 2.541005727254912472e-01
2.209167362744486240e+02 2.955619265591167277e-01
2.218888404193482700e+02 8.799094052335760807e-01
2.228695375129311742e+02 1.738179297929463019e+00
2.238589419975127726e+02 2.415977721616400231e+00
2.248571703566860549e+02 2.722584686383896724e+00
2.258643411610376290e+02 2.329892745054962688e+00
2.268805751150980825e+02 1.443366557265107986e+00
2.279059951055652107e+02 1.617229277175738389e+00
2.289407262508410099e+02 2.591483874167863632e+00
2.299848959519243010e+02 3.705729515624085479e+00
2.310386339447023829e+02 3.452025054390162495e+00
2.321020723536870776e+02 5.513236573719382250e+00
2.331753457472410389e+02 7.604550662021210883e+00
2.342585911943441204e+02 6.119035289521519871e+00
2.353519483229490277e+02 4.889705778471295616e+00
2.364555593799791495e+02 3.184581532177332974e+00
2.375695692930217717e+02 1.487666667802045595e+00
2.386941257337741717e+02 4.595113042103093903e-01
2.398293791832997783e+02 7.414468159741602449e+00
2.409754829991558438e+02 8.814120229012758045e+00
2.421325934844544747e+02 9.448624040229901766e+00
2.433008699589235846e+02 1.058313841476916650e+01
2.444804748320347016e+02 1.419836185640531312e+01
2.456715736782686008e+02 1.116588717367460504e+01
2.468743353145914625e+02 2.481651552166340480e+00
2.480889318802186096e+02 1.045003971396681663e+00
2.493155389187440676e+02 1.912265044173977913e+00
2.505543354627190524e+02 4.708795568973414447e+00
2.518055041207638283e+02 9.297339142000026868e+00
2.530692311673035420e+02 1.294587371055936842e+01
2.543457066350191269e+02 1.392127409390991488e+01
2.556351244101109614e+02 1.221659765217793847e+01
2.569376823304741606e+02 8.186341743777319380e+00
2.582535822868912874e+02 5.940778815481451147e+00
2.595830303273504569e+02 6.918652413653489930e+00
2.609262367646023222e+02 8.877003940898703149e+00
2.622834162870731234e+02 9.487460686439732171e+00
2.636547880732581461e+02 9.346113234046129037e+00
2.650405759097220084e+02 1.244824269647119763e+01
2.664410083128404381e+02 9.614384170493877946e+00
2.678563186544216705e+02 3.470662729608932295e+00
2.692867452913532134e+02 2.151405836976778119e+00
2.707325316994252375e+02 1.442085358812221330e+00
2.721939266114877114e+02 3.175012763428952667e+00
2.736711841601066908e+02 5.084647814240184971e+00
2.751645640248910922e+02 6.073379632826458874e+00
2.766743315846701421e+02 6.046555374676700012e+00
2.782007580747073234e+02 5.590924634249944347e+00
2.797441207491482373e+02 4.935446856188633546e+00
2.813047030489051394e+02 4.475005768880492951e+00
2.828827947751931902e+02 4.365274284202484978e+00
2.844786922689397102e+02 7.208312937942764620e+00
2.860926985963017160e+02 7.895809663786138799e+00
2.877251237405343431e+02 7.509150620707913504e+00
2.893762848004657826e+02 5.833124560983435458e+00
2.910465061958453248e+02 1.456424568198826819e+00
2.927361198798445230e+02 2.311740366217293285e+00
2.944454655590027983e+02 3.182548470448921307e+00
2.961748909209248950e+02 3.929351283763082847e+00
2.979247518700491923e+02 4.170184622577039590e+00
2.996954127718240102e+02 4.270324552207625857e+00
3.014872467056430878e+02 3.077500792283103692e+00
3.033006357269097748e+02 6.006595422791122019e+00
3.051359711386147637e+02 7.464411470033155638e+00
3.069936537728355006e+02 8.941051724193272321e+00
3.088740942825803586e+02 8.989369548968454637e+00
3.107777134444254443e+02 6.634586569698342373e+00
3.127049424724110054e+02 8.271359915105222171e+00
3.146562233436910674e+02 9.163451277007482076e+00
3.166320091364513587e+02 8.307162209513762718e+00
3.186327643806391734e+02 8.397740492250107991e+00
3.206589654220745729e+02 1.157747557539852323e+01
3.227111008005433632e+02 1.266405647503768250e+01
3.247896716425015597e+02 9.419392016568764348e+00
3.268951920690550423e+02 6.465907493409758899e+00
3.290281896199106200e+02 1.323959034103870636e+01
3.311892056940348539e+02 7.566005128139124736e+00
3.333787960077926300e+02 7.340913601167159186e+00
3.355975310713798194e+02 8.213002050241783536e+00
3.378459966844079645e+02 1.514634547058136604e+01
3.401247944515462223e+02 1.550355126678061879e+01
3.424345423191725786e+02 9.953318425334487074e+00
3.447758751340413141e+02 8.109970973054885235e+00
3.471494452250260565e+02 7.070683255591291072e+00
3.495559230090598248e+02 6.377474967557134278e+00
3.519959976224532170e+02 6.021004927505799742e+00
