,Unnamed: 0,Unnamed: 0.1,P,e,M0,w,K,v0,dv0_1,wmod,M,a
28,28,28,20451.101557686397,0.5692309792539709,2.085613664121767,0.6860605196591667,36.42808136081839,49.12112662216471,-5.62893135287762,0.6860605196591667,4.759460131900993,15.905459296732362
29,29,29,46177.527747829336,0.7286984989400276,0.9299873647462212,-2.463919403629487,44.336762497748786,66.78659980520851,-5.858119229349028,0.6776732499603062,5.894656618564645,26.41677159802677
30,30,30,14278.259166531403,0.5185819014135358,2.9182831789823616,0.5967199281255802,30.331559078433727,39.541067684377204,-6.3401075902442825,0.5967199281255802,3.1697485822211027,11.655274638038431
31,31,31,15918.240202019822,0.5161937893418407,2.5834649792871662,0.4585492208702844,30.029883885483237,40.04040525382413,-5.401188446937149,0.4585492208702844,3.2218488337351814,12.458815098793133
32,32,32,19249.738949843002,0.5405054646821073,2.178811045879676,-2.5883065906034304,33.285785120901764,45.48364364745606,-5.580796821932209,0.5532860629863632,3.8749104195808437,14.399186367198665
33,33,33,16223.784495429498,0.4943606936869835,2.508252439679949,-2.8079244096490674,28.36251388530946,38.2879616955998,-5.365721049990417,0.3336682439407257,3.410562146388417,13.217601072928376
34,34,34,41985.19461730435,0.6932451006206752,0.965434784793822,-2.8865970735608366,34.39794113886784,54.72825368200213,-5.030571699984024,0.2549955800289565,4.466037816333051,24.26471659819274
35,35,35,13267.842013563444,0.4749476002112952,-3.1348679726590665,-2.535047270460284,29.252476223869657,37.24703330265781,-6.793748732523887,0.6065453831295096,3.297941281063657,11.502850519133204
36,36,36,25544.268646807548,0.6892019630385711,1.7381935364332233,-1.9867101681591528,51.379786643708115,62.94470260727787,-5.645762404563882,1.1548824854306403,5.484221792899392,17.115048355281615
37,37,37,20698.045194440525,0.5672401375297819,2.1053696300479645,0.8189478512610098,38.96626660776481,50.80731341326912,-4.566176518008096,0.8189478512610098,4.4630631563198575,14.969288249179545
38,38,38,20920.020525257645,0.5575235412319184,1.9480921640185669,0.3441113295037557,31.18582240096027,44.125318712526294,-5.538078891124612,0.3441113295037557,3.742882808524687,15.343850844621732
39,39,39,34059.19992626017,0.6761392338685935,1.156793784675222,-3.066202209657594,30.41326268991604,47.33262584382458,-5.092207788896567,0.07539044393219907,3.4788555793233926,20.288353574100388
40,40,40,20503.274925572216,0.5829111834011678,2.07071641192171,0.6741691615593663,35.31885407076608,48.03504224747203,-5.099202355887732,0.6741691615593663,3.93489159309955,14.793244201583141
41,41,41,20080.959986038,0.5439243689597879,2.0272551993216807,-2.835283028013184,29.72344774096951,42.368701564022075,-5.514041271929403,0.3063096255766098,3.4662383485324546,14.73893592397811
42,42,42,21298.063325799474,0.5793794717652743,1.915036802531204,0.3269478960824155,30.99544862391831,44.62575324485621,-5.5017210165549,0.3269478960824155,3.4291567779903267,15.001356230426921
43,43,43,24540.869163036532,0.5634172014565354,1.636822214269496,-2.9540647432400595,30.12322369723305,44.126667620988464,-4.651228460977136,0.1875279103497336,3.720168653945201,16.898578861170776
44,44,44,15329.723566910803,0.5036991420290652,2.7444921797022204,0.6582631368104246,31.55859227840038,40.87310512884972,-6.316333589465147,0.6582631368104246,3.5058916733000154,12.387712022332575
45,45,45,16524.163616603022,0.5098511996961614,2.4775663698133465,0.3750650824985624,29.32137312290267,39.96758014888936,-4.90739068516366,0.3750650824985624,3.601228281582157,13.551500713069467
46,46,46,13052.80921288951,0.473417771013428,-3.1236005496245123,0.4824276266181271,28.44147619846333,36.43146114045632,-5.520100692372211,0.4824276266181271,2.960173941483084,10.957122486061305
47,47,47,13963.07888854184,0.5036495905843356,3.0116196994549442,0.6621309240142534,30.47077033066961,38.913139800880884,-5.690160612474247,0.6621309240142534,3.072462548857639,11.26337179262118
