# period  BIC_array
1.292201535178394636e+02 2.539395477444486460e+00
1.294507981638977583e+02 4.528558576268096658e+00
1.296822676359937816e+02 9.103605761774360872e+00
1.299145663666388657e+02 1.411308401396308909e+01
1.301476988201610823e+02 1.763880519921895029e+01
1.303816694929911364e+02 1.864905762342050366e+01
1.306164829139513870e+02 1.724742881757265422e+01
1.308521436445482777e+02 1.444047964493165637e+01
1.310886562792675250e+02 1.131469499880086005e+01
1.313260254458727161e+02 8.402276355511276051e+00
1.315642558057072051e+02 5.922159197171367850e+00
1.318033520539992764e+02 4.174312474114231009e+00
1.320433189201705204e+02 3.334969869702490541e+00
1.322841611681476763e+02 3.299403615017581615e+00
1.325258835966779714e+02 4.369420422451185004e+00
1.327684910396477562e+02 6.508849511415519373e+00
1.330119883664047791e+02 8.963878112496331596e+00
1.332563804820838698e+02 1.029123067778346012e+01
1.335016723279364896e+02 9.488974863628754974e+00
1.337478688816635781e+02 6.804775644453911809e+00
1.339949751577524069e+02 3.583491637419683684e+00
1.342429962078169297e+02 1.910930450209889386e+00
1.344919371209420262e+02 3.677423470147004991e+00
1.347418030240316682e+02 8.820362492152980849e+00
1.349925990821607797e+02 1.533369465331725223e+01
1.352443304989312480e+02 2.057558507134945103e+01
1.354970025168316283e+02 2.284906928121381497e+01
1.357506204176013682e+02 2.172453056526182991e+01
1.360051895225985561e+02 1.815842080786615043e+01
1.362607151931722740e+02 1.412794712704044287e+01
1.365172028310388441e+02 1.136175762362699970e+01
1.367746578786625946e+02 1.034735961548813066e+01
1.370330858196408030e+02 1.053489594551956543e+01
1.372924921790928749e+02 1.114758797970125670e+01
1.375528825240542972e+02 1.164780405721239731e+01
1.378142624638747407e+02 1.199615974424614251e+01
1.380766376506209667e+02 1.272039879951626062e+01
1.383400137794841385e+02 1.414464799036886689e+01
1.386043965891919356e+02 1.552808978852544897e+01
1.388697918624253873e+02 1.544444039423979120e+01
1.391362054262404513e+02 1.306569211132773489e+01
1.394036431524944817e+02 8.845245263385550061e+00
1.396721109582776705e+02 4.312956748981378041e+00
1.399416148063494063e+02 1.472480022992840532e+00
1.402121607055797767e+02 1.552142193057989061e+00
1.404837547113960170e+02 3.875466326267996919e+00
1.407564029262345002e+02 6.412781805124723178e+00
1.410301114999976164e+02 7.473791285830884590e+00
1.413048866305163358e+02 6.820943433619959251e+00
1.415807345640178312e+02 5.504488569926252239e+00
1.418576615955990121e+02 4.969235950766233145e+00
1.421356740697051748e+02 6.164120144482239994e+00
1.424147783806146776e+02 8.920637700398401648e+00
1.426949809729291871e+02 1.187464662111051439e+01
1.429762883420694948e+02 1.323053176639132289e+01
1.432587070347776717e+02 1.202675944412021636e+01
1.435422436496248793e+02 8.856418015710005420e+00
1.438269048375252055e+02 5.331488815986631380e+00
1.441126973022557536e+02 2.854351537007460138e+00
1.443996278009829268e+02 1.859908997599177383e+00
1.446877031447949378e+02 1.870027193518581043e+00
1.449769301992407975e+02 1.976296256753812486e+00
1.452673158848756998e+02 1.555919119636200776e+00
1.455588671778129708e+02 8.043958398316135572e-01
1.458515911102828397e+02 2.489924340206925990e-01
1.461454947711977184e+02 3.356562912090339523e-01
1.464405853067244720e+02 1.114316963286910322e+00
1.467368699208636542e+02 2.234233052891795523e+00
1.470343558760357894e+02 2.979317692244421778e+00
1.473330504936746479e+02 2.750054143181387190e+00
1.476329611548279672e+02 1.706897537219902006e+00
1.479340953007653923e+02 5.953452381781971781e-01
1.482364604335940044e+02 7.487346575453557307e-02
1.485400641168811831e+02 3.009907020377795561e-01
1.488449139762854259e+02 1.051769856909231748e+00
1.491510177001947284e+02 1.898347264234416798e+00
1.494583830403729507e+02 2.346359116955682111e+00
1.497670178126142559e+02 2.156214420141168375e+00
1.500769298974053925e+02 1.496452990329089516e+00
1.503881272405967024e+02 7.796911319819628261e-01
1.507006178540809458e+02 3.172636903123020602e-01
1.510144098164811624e+02 1.715915963231964270e-01
1.513295112738465491e+02 1.722146577849343885e-01
1.516459304403575743e+02 1.643797471688230871e-01
1.519636755990397319e+02 9.142577639158844249e-02
1.522827551024862487e+02 6.539422650712367613e-02
1.526031773735900572e+02 3.162988476269674720e-01
1.529249509062848915e+02 9.635588817227471736e-01
1.532480842662958764e+02 1.908850266235276649e+00
1.535725860918996091e+02 2.831868544964891043e+00
1.538984650946939610e+02 3.306081358614846977e+00
1.542257300603775434e+02 3.009277638767798635e+00
1.545543898495394046e+02 1.984367270708389697e+00
1.548844533984586462e+02 7.717542658656384447e-01
1.552159297199143282e+02 1.624219524501313572e-01
1.555488279040058899e+02 6.298109884482983034e-01
1.558831571189840872e+02 1.987132675244538405e+00
1.562189266120926732e+02 3.568654708566100453e+00
1.565561457104208785e+02 4.656960055719537195e+00
1.568948238217672326e+02 4.908035730564279220e+00
1.572349704355143558e+02 4.537135302497972589e+00
1.575765951235152329e+02 4.120798982486121531e+00
1.579197075409911690e+02 4.099531731641036458e+00
1.582643174274412274e+02 4.463867086607933743e+00
1.586104346075640592e+02 4.958417889340580587e+00
1.589580689921913574e+02 5.122208562647756480e+00
1.593072305792339307e+02 4.934993163989020104e+00
1.596579294546401968e+02 4.598564743139831990e+00
1.600101757933673241e+02 4.635065953220873780e+00
1.603639798603653048e+02 5.438161212542581779e+00
1.607193520115740171e+02 6.722917265386968211e+00
1.610763026949337302e+02 7.736719964500480273e+00
1.614348424514090254e+02 7.850792550238111289e+00
1.617949819160264155e+02 6.869195980495533149e+00
1.621567318189258060e+02 4.934176575755827798e+00
1.625201029864261955e+02 2.608644466595251288e+00
1.628851063421058996e+02 7.655113426740172144e-01
1.632517529078969005e+02 5.099836077306463267e-02
1.636200538051945443e+02 4.142137115263722080e-01
1.639900202559817899e+02 1.274213922858052683e+00
1.643616635839692321e+02 1.957928453980457562e+00
1.647349952157503310e+02 2.102368506688435446e+00
1.651100266819724141e+02 1.902619821112239151e+00
1.654867696185240220e+02 1.687520156141545158e+00
1.658652357677380849e+02 1.687522725465896656e+00
1.662454369796121512e+02 1.781827144791805040e+00
1.666273852130449598e+02 1.748420903601072496e+00
1.670110925370904909e+02 1.486006117618671851e+00
1.673965711322290986e+02 1.066368107737616810e+00
1.677838332916564639e+02 9.214324709455468110e-01
1.681728914225903964e+02 1.394373100411939959e+00
1.685637580475959396e+02 2.656566737317916704e+00
1.689564458059288086e+02 4.485155991603278380e+00
1.693509674548978978e+02 6.322004316641596233e+00
1.697473358712468041e+02 7.462287795506199473e+00
1.701455640525547324e+02 7.471202415556035703e+00
1.705456651186572685e+02 6.508247344159372005e+00
1.709476523130872749e+02 5.115245885106105561e+00
1.713515390045359936e+02 3.741236132089397870e+00
1.717573386883352100e+02 2.677030736119377252e+00
1.721650649879602781e+02 2.035228343526796380e+00
1.725747316565548601e+02 1.773696420671967644e+00
1.729863525784771241e+02 1.735380331146643584e+00
1.733999417708685087e+02 1.732504042788605148e+00
1.738155133852447420e+02 1.644273371241069981e+00
1.742330817091100528e+02 1.487490953070391697e+00
1.746526611675944309e+02 1.400092849462907907e+00
1.750742663251149054e+02 1.497375128578823933e+00
1.754979118870605532e+02 1.723133530948871339e+00
1.759236127015026057e+02 1.846626099771128793e+00
1.763513837609287407e+02 1.614061925198711833e+00
1.767812402040035806e+02 1.016793391605460783e+00
1.772131973173541439e+02 4.542022026939775969e-01
1.776472705373823828e+02 5.738985816760759917e-01
1.780834754521037269e+02 1.675711869884253247e+00
1.785218278030132240e+02 3.446260964192788379e+00
1.789623434869789662e+02 5.179380166864575585e+00
1.794050385581641365e+02 5.970743675534777140e+00
1.798499292299768797e+02 5.352690719021666155e+00
1.802970318770501024e+02 3.479607653856874094e+00
1.807463630372501768e+02 1.225585145668446785e+00
1.811979394137162842e+02 -2.660003165146918036e-03
1.816517778769299412e+02 1.121381723108697770e+00
1.821078954668162169e+02 4.908936622935016203e+00
1.825663093948760434e+02 1.009669843502524600e+01
1.830270370463515519e+02 1.440108397477752078e+01
1.834900959824236111e+02 1.605997300948138218e+01
1.839555039424433289e+02 1.485270831698790062e+01
1.844232788461970927e+02 1.197558177185101158e+01
1.848934387962068797e+02 8.699160581536943937e+00
1.853660020800651864e+02 5.812831704389282095e+00
1.858409871728063649e+02 3.511155304746807815e+00
1.863184127393141978e+02 1.805514648208372819e+00
1.867982976367669323e+02 7.040008096923884295e-01
1.872806609171198886e+02 2.679058574894952471e-01
1.877655218296269481e+02 5.417039504181957454e-01
1.882528998234010089e+02 1.432384100563467655e+00
1.887428145500148275e+02 2.617066039125347743e+00
1.892352858661420214e+02 3.603413339780672686e+00
1.897303338362401064e+02 3.936303492293518502e+00
1.902279787352753999e+02 3.423170964823839313e+00
1.907282410514907838e+02 2.263101172843562381e+00
1.912311414892179187e+02 1.049904974929631862e+00
